chrom	start	end	width	strand	score	phyloP	rmsk	name	isBound	TF	chipseq.score	rownames
chr1	9541413	9541431	19	-	13.2902	-0.0225789473684211	False	CTCF	True	CTCF	401.092987060547	TFBS_1000
chr1	9541469	9541487	19	-	13.2902	0.385315789473684	False	CTCF	True	CTCF	401.092987060547	TFBS_1001
chr1	9545334	9545352	19	-	17.1224	0.913684210526316	False	CTCF	True	CTCF	255.647003173828	TFBS_1002
chr1	11140105	11140123	19	-	13.0579	-0.0251052631578947	False	CTCF	True	CTCF	163.445999145508	TFBS_1005
chr1	13134469	13134487	19	-	16.7955	0.300947368421053	False	CTCF	True	CTCF	343.657012939453	TFBS_1010
chr1	13500664	13500682	19	-	19.2467	-0.194894736842105	False	CTCF	True	CTCF	299.652008056641	TFBS_1012
chr1	13531683	13531701	19	-	10.2977	1.36763157894737	False	CTCF	True	CTCF	396.411987304688	TFBS_1013
chr1	13589796	13589814	19	-	13.9995	1.196	False	CTCF	True	CTCF	528.549011230469	TFBS_1014
chr1	13590017	13590035	19	-	14.0711	1.20247368421053	False	CTCF	True	CTCF	528.549011230469	TFBS_1015
chr1	14636053	14636071	19	-	12.0736	4.28326315789474	False	CTCF	True	CTCF	118.227996826172	TFBS_1017
chr1	14729231	14729249	19	-	19.971	0.90978947368421	False	CTCF	True	CTCF	271.22900390625	TFBS_1018
chr1	34738542	34738560	19	+	24.017	0.254526315789474	False	CTCF	True	CTCF	385.980010986328	TFBS_102
chr1	14980503	14980521	19	-	15.1559	0.224157894736842	False	CTCF	True	CTCF	232.97900390625	TFBS_1020
chr1	15993733	15993751	19	-	15.3614	1.3908947368421	False	CTCF	True	CTCF	196.973999023438	TFBS_1027
chr1	16007075	16007093	19	-	15.4473	-0.198473684210526	False	CTCF	True	CTCF	196.973999023438	TFBS_1028
chr1	17123611	17123629	19	-	13.2917		False	CTCF	True	CTCF	351.207000732422	TFBS_1034
chr1	34893966	34893984	19	+	12.7968	0.033	False	CTCF	True	CTCF	236.455993652344	TFBS_104
chr1	18976907	18976925	19	-	12.1567	3.13173684210526	False	CTCF	True	CTCF	146.046005249023	TFBS_1043
