TFBS_cluster	biological.state	Counts	Freqs
1	TFBS_1000	Accessible	191	0.503957783641161
2	TFBS_1000	Bound	86	0.226912928759894
3	TFBS_1000	Nucleosome.occupied	102	0.269129287598945
4	TFBS_10006	Accessible	53	0.266331658291457
5	TFBS_10006	Bound	44	0.221105527638191
6	TFBS_10006	Nucleosome.occupied	102	0.512562814070352
7	TFBS_10007	Accessible	98	0.14327485380117
8	TFBS_10007	Bound	538	0.786549707602339
9	TFBS_10007	Nucleosome.occupied	48	0.0701754385964912
10	TFBS_1001	Accessible	181	0.578274760383387
11	TFBS_1001	Bound	85	0.271565495207668
12	TFBS_1001	Nucleosome.occupied	47	0.150159744408946
13	TFBS_10013	Accessible	104	0.213114754098361
14	TFBS_10013	Bound	180	0.368852459016393
15	TFBS_10013	Nucleosome.occupied	204	0.418032786885246
16	TFBS_10018	Accessible	76	0.496732026143791
17	TFBS_10018	Bound	4	0.0261437908496732
18	TFBS_10018	Nucleosome.occupied	73	0.477124183006536
19	TFBS_1002	Accessible	121	0.742331288343558
20	TFBS_1002	Bound	35	0.214723926380368
21	TFBS_1002	Nucleosome.occupied	7	0.0429447852760736
22	TFBS_10023	Accessible	53	0.116228070175439
23	TFBS_10023	Bound	75	0.164473684210526
24	TFBS_10023	Nucleosome.occupied	328	0.719298245614035
25	TFBS_10034	Accessible	103	0.488151658767773
26	TFBS_10034	Bound	11	0.0521327014218009
27	TFBS_10034	Nucleosome.occupied	97	0.459715639810427
28	TFBS_10037	Accessible	93	0.709923664122137
29	TFBS_10037	Nucleosome.occupied	38	0.290076335877863
30	TFBS_10038	Accessible	12	0.342857142857143
31	TFBS_10038	Bound	16	0.457142857142857
32	TFBS_10038	Nucleosome.occupied	7	0.2
33	TFBS_10039	Accessible	9	0.375
34	TFBS_10039	Nucleosome.occupied	15	0.625
35	TFBS_10040	Accessible	28	0.15819209039548
36	TFBS_10040	Bound	127	0.717514124293785
37	TFBS_10040	Nucleosome.occupied	22	0.124293785310734
38	TFBS_10041	Accessible	30	0.128205128205128
39	TFBS_10041	Bound	152	0.64957264957265
40	TFBS_10041	Nucleosome.occupied	52	0.222222222222222
41	TFBS_10044	Accessible	153	0.332608695652174
42	TFBS_10044	Bound	244	0.530434782608696
43	TFBS_10044	Nucleosome.occupied	63	0.13695652173913
44	TFBS_10045	Accessible	140	0.403458213256484
45	TFBS_10045	Bound	7	0.0201729106628242
46	TFBS_10045	Nucleosome.occupied	200	0.576368876080692
47	TFBS_10049	Accessible	103	0.276139410187668
48	TFBS_10049	Bound	207	0.554959785522788
49	TFBS_10049	Nucleosome.occupied	63	0.168900804289544
50	TFBS_1005	Accessible	305	0.39002557544757
51	TFBS_1005	Bound	41	0.0524296675191816
52	TFBS_1005	Nucleosome.occupied	436	0.557544757033248
53	TFBS_10052	Accessible	26	0.168831168831169
54	TFBS_10052	Bound	97	0.62987012987013
55	TFBS_10052	Nucleosome.occupied	31	0.201298701298701
56	TFBS_10054	Accessible	22	0.133333333333333
57	TFBS_10054	Bound	113	0.684848484848485
58	TFBS_10054	Nucleosome.occupied	30	0.181818181818182
59	TFBS_10059	Accessible	78	0.171428571428571
60	TFBS_10059	Bound	338	0.742857142857143
61	TFBS_10059	Nucleosome.occupied	39	0.0857142857142857
62	TFBS_10060	Accessible	55	0.578947368421053
63	TFBS_10060	Bound	13	0.136842105263158
64	TFBS_10060	Nucleosome.occupied	27	0.284210526315789
65	TFBS_10067	Accessible	30	0.214285714285714
66	TFBS_10067	Bound	62	0.442857142857143
67	TFBS_10067	Nucleosome.occupied	48	0.342857142857143
68	TFBS_10070	Accessible	33	0.181318681318681
69	TFBS_10070	Bound	88	0.483516483516484
70	TFBS_10070	Nucleosome.occupied	61	0.335164835164835
71	TFBS_10072	Accessible	39	0.382352941176471
72	TFBS_10072	Nucleosome.occupied	63	0.617647058823529
73	TFBS_10074	Accessible	45	0.191489361702128
74	TFBS_10074	Bound	138	0.587234042553191
75	TFBS_10074	Nucleosome.occupied	52	0.221276595744681
76	TFBS_10078	Accessible	6	0.136363636363636
77	TFBS_10078	Bound	25	0.568181818181818
78	TFBS_10078	Nucleosome.occupied	13	0.295454545454545
79	TFBS_10081	Accessible	344	0.402810304449649
80	TFBS_10081	Bound	406	0.475409836065574
81	TFBS_10081	Nucleosome.occupied	104	0.121779859484778
82	TFBS_10082	Accessible	85	0.467032967032967
83	TFBS_10082	Nucleosome.occupied	97	0.532967032967033
84	TFBS_10084	Accessible	169	0.338
85	TFBS_10084	Bound	55	0.11
